Temperature	Magnetism_One	Magnetism_Two	Magnetism_Three	Susceptibility_One	Susceptibility_Two	Susceptibility_Three	Energy_Kawasaki	Heat_Capacity_Kawasaki	Heat_Capacity_Over_Temp	Entropy	Prob1	Prob0	Prob_-1
7.807	0.0314793	0.0326081	0.0322341	7.22841e-005	7.78485e-005	7.34755e-005	-105.602	12.0863	1.54814	0.722223	0.29618	0.29618	0.407639
7.808	0.0334625	0.0325241	0.0328667	8.39348e-005	8.06242e-005	7.80599e-005	-104.883	12.7262	1.62989	0.722224	0.295695	0.295695	0.408609
7.809	0.0317527	0.0327107	0.0328066	7.60455e-005	7.86169e-005	8.34779e-005	-108.239	11.4667	1.46839	0.722226	0.296041	0.296041	0.407917
7.81	0.0324612	0.0316433	0.030887	7.95577e-005	7.53973e-005	7.15346e-005	-104.336	12.0909	1.54813	0.722228	0.296001	0.296001	0.407998
7.811	0.0313596	0.030251	0.0315498	7.04827e-005	6.81334e-005	7.25814e-005	-105.151	12.2215	1.56466	0.72223	0.295824	0.295824	0.408353
7.812	0.0329718	0.0321012	0.0325865	7.667e-005	7.41757e-005	7.61014e-005	-108.31	12.2848	1.57256	0.722231	0.2961	0.2961	0.4078
7.813	0.0322913	0.0317792	0.031863	7.68073e-005	7.3504e-005	7.49277e-005	-108.792	12.1959	1.56097	0.722233	0.296116	0.296116	0.407769
7.814	0.0324213	0.0327244	0.0320235	7.80768e-005	7.93073e-005	7.65215e-005	-105.881	11.1843	1.43132	0.722235	0.296096	0.296096	0.407808
7.815	0.0313551	0.0318179	0.0309967	7.69454e-005	7.46987e-005	7.09121e-005	-104.077	12.3936	1.58587	0.722236	0.296068	0.296068	0.407863
7.816	0.0324159	0.0321909	0.0322853	7.87268e-005	7.78676e-005	7.67462e-005	-105.596	11.9746	1.53206	0.722238	0.29586	0.29586	0.408281
7.817	0.0333717	0.0318917	0.0324903	7.77012e-005	7.10991e-005	7.94536e-005	-106.799	12.4176	1.58854	0.72224	0.295623	0.295623	0.408754
7.818	0.0316572	0.0312968	0.0312465	7.48153e-005	7.1769e-005	7.13189e-005	-105.66	11.2867	1.44368	0.722242	0.295609	0.295609	0.408783
7.819	0.032525	0.0322018	0.0328273	7.53403e-005	7.50309e-005	7.86576e-005	-105.812	12.2146	1.56217	0.722243	0.295674	0.295674	0.408652
7.82	0.0328821	0.0329223	0.0317832	7.78295e-005	7.73018e-005	6.98232e-005	-106.989	12.5412	1.60373	0.722245	0.295634	0.295634	0.408733
7.821	0.0329656	0.0324354	0.0314992	8.02529e-005	7.95503e-005	7.3772e-005	-103.299	12.5615	1.60612	0.722247	0.296168	0.296168	0.407663
7.822	0.0322183	0.0321341	0.0313187	7.64004e-005	7.38165e-005	7.16429e-005	-106.693	11.8603	1.51627	0.722248	0.295829	0.295829	0.408343
7.823	0.0325447	0.0322488	0.0311495	7.93258e-005	7.53044e-005	7.22721e-005	-107.257	11.6743	1.49231	0.72225	0.295801	0.295801	0.408398
7.824	0.0332964	0.0321012	0.031952	8.1645e-005	7.7822e-005	7.76382e-005	-108.632	11.8291	1.51189	0.722252	0.296208	0.296208	0.407584
