Temperature	Magnetism_One	Magnetism_Two	Magnetism_Three	Susceptibility_One	Susceptibility_Two	Susceptibility_Three	Energy_Glauber	Heat_Capacity_Glauber	Heat_Capacity_Over_Temp	Entropy_Glauber	Prob1	Prob0	Prob_-1
9.896	0.0390167	0.0374367	0.0371967	8.75954e-005	8.1029e-005	8.24572e-005	-107.174	9.83421	0.993756	0.000112327	0.335898	0.335214	0.328888
9.895	0.0378533	0.0367133	0.0391433	8.27503e-005	7.89982e-005	8.50317e-005	-108.572	9.89223	0.999721	0.000113431	0.335196	0.33511	0.329694
9.894	0.0382367	0.03926	0.0390467	8.25721e-005	8.76072e-005	8.13896e-005	-106.101	10.4958	1.06082	0.000114542	0.335462	0.335477	0.329061
9.893	0.03977	0.0374933	0.0378733	8.82625e-005	7.85814e-005	8.42425e-005	-105.911	10.3747	1.04869	0.000115721	0.335513	0.335141	0.329346
9.892	0.0368667	0.0384433	0.0369167	8.16826e-005	8.6302e-005	8.1814e-005	-107.01	9.93391	1.00424	0.000116886	0.335289	0.335051	0.32966
9.891	0.0399367	0.0382733	0.0358167	8.87301e-005	8.39907e-005	7.81069e-005	-109.025	9.43981	0.954384	0.000118002	0.334774	0.335028	0.330198
9.89	0.0402133	0.0384767	0.0391067	9.25356e-005	8.5076e-005	8.83723e-005	-108.379	9.7182	0.982629	0.000119062	0.33513	0.335602	0.329268
9.889	0.0376533	0.0390333	0.03739	8.3968e-005	9.00348e-005	8.56214e-005	-109.167	11.0247	1.11485	0.000120154	0.335277	0.335136	0.329588
9.888	0.0384333	0.0385467	0.0394267	9.1115e-005	8.0706e-005	8.91748e-005	-107.993	10.2079	1.03236	0.000121393	0.335531	0.335382	0.329087
9.887	0.03986	0.03873	0.0395867	8.80261e-005	9.09228e-005	8.27086e-005	-107.8	10.2025	1.03191	0.00012254	0.335623	0.335636	0.328741
9.886	0.0402067	0.0385333	0.0379067	9.21395e-005	8.41149e-005	8.30868e-005	-107.909	10.4263	1.05465	0.000123687	0.335522	0.335576	0.328902
9.885	0.03863	0.0385833	0.0386833	8.88328e-005	8.12414e-005	8.64081e-005	-107.163	9.44313	0.955299	0.000124858	0.335468	0.335587	0.328946
9.884	0.0394633	0.03908	0.0369933	8.79683e-005	8.55949e-005	9.03215e-005	-107.134	10.3552	1.04768	0.00012592	0.335689	0.335317	0.328994
9.883	0.03993	0.03913	0.0390333	9.47447e-005	9.05808e-005	8.11066e-005	-107.944	10.7013	1.08279	0.000127084	0.335653	0.335669	0.328678
9.882	0.0376133	0.0381633	0.0397233	7.96727e-005	8.76357e-005	8.95704e-005	-108.487	10.3348	1.04582	0.000128287	0.335786	0.33541	0.328804
9.881	0.0376533	0.0370933	0.03918	8.01565e-005	8.24631e-005	8.26879e-005	-108.4	10.0437	1.01646	0.000129449	0.33522	0.3356	0.32918
9.88	0.03782	0.03717	0.0381933	7.57606e-005	8.36844e-005	8.07245e-005	-108.891	9.27741	0.939009	0.000130578	0.335538	0.335134	0.329328
9.879	0.0382467	0.04054	0.0376533	8.1321e-005	8.79753e-005	8.904e-005	-108.758	10.2328	1.03582	0.000131622	0.335421	0.336243	0.328336
9.878	0.03898	0.0364867	0.0398667	8.79849e-005	7.55496e-005	8.64215e-005	-106.582	9.40495	0.952111	0.000132773	0.335261	0.335677	0.329062
9.877	0.0378233	0.03888	0.0386367	8.21601e-005	8.70925e-005	8.60402e-005	-107.537	10.2159	1.03431	0.000133831	0.335176	0.335298	0.329527
9.876	0.0390167	0.0395967	0.0395867	8.51829e-005	8.93258e-005	8.59374e-005	-108.153	9.97767	1.01029	0.00013498	0.335604	0.33524	0.329156
9.875	0.0376167	0.0378467	0.0393733	8.58034e-005	8.51653e-005	8.59844e-005	-106.716	9.38977	0.950863	0.000136102	0.335533	0.335166	0.329301
9.874	0.03891	0.03942	0.0400567	8.81778e-005	8.84205e-005	9.64044e-005	-105.525	10.3541	1.04862	0.000137159	0.335672	0.335437	0.328891
9.873	0.0397367	0.0395633	0.0385367	9.00151e-005	8.95009e-005	8.17136e-005	-108.082	9.91028	1.00378	0.000138324	0.335069	0.335668	0.329263
9.872	0.0384833	0.0380933	0.03972	8.30654e-005	8.88223e-005	9.10487e-005	-109.573	10.2682	1.04013	0.000139439	0.335762	0.335281	0.328957
9.871	0.03991	0.0392633	0.0393733	8.94363e-005	8.4256e-005	8.85835e-005	-108.981	9.53313	0.965772	0.000140595	0.335299	0.335659	0.329042
9.87	0.0376533	0.03792	0.03906	8.59444e-005	7.8616e-005	8.75385e-005	-107.238	9.36128	0.948458	0.000141668	0.335209	0.335593	0.329198
9.869	0.0375367	0.0384133	0.0388467	8.03446e-005	8.2964e-005	8.115e-005	-107.119	10.3683	1.0506	0.000142722	0.335213	0.335599	0.329188
9.868	0.0365867	0.03702	0.03716	7.80226e-005	8.19763e-005	7.34541e-005	-107.424	8.9622	0.908209	0.000143889	0.335192	0.334959	0.329849
9.867	0.0385333	0.03953	0.0385267	9.22744e-005	8.88519e-005	8.52816e-005	-107.688	9.54917	0.967788	0.000144898	0.335093	0.335501	0.329406
9.866	0.0384833	0.03824	0.0374367	8.54742e-005	8.61446e-005	8.24038e-005	-109.606	9.44732	0.957563	0.000145974	0.335056	0.335624	0.32932
9.865	0.0383667	0.0386933	0.0396933	8.5048e-005	8.26292e-005	9.625e-005	-108.178	9.07298	0.919714	0.000147038	0.335759	0.335134	0.329107
9.864	0.03871	0.0380033	0.0398267	9.04177e-005	8.09478e-005	8.9832e-005	-109.572	9.44124	0.957141	0.00014806	0.335438	0.335191	0.329371
9.863	0.0400533	0.0402333	0.0376533	9.70493e-005	9.61721e-005	8.24207e-005	-108.135	9.21729	0.934532	0.000149123	0.335319	0.335326	0.329356
9.862	0.03862	0.0400267	0.0387133	8.88535e-005	8.89767e-005	8.8018e-005	-107.316	9.87221	1.00104	0.000150161	0.335856	0.335078	0.329067
9.861	0.0380667	0.0373367	0.03965	8.42213e-005	7.65491e-005	9.33058e-005	-109.155	9.31447	0.944577	0.000151274	0.335152	0.335408	0.32944
9.86	0.0382233	0.0394567	0.0369233	7.98726e-005	8.96421e-005	8.14662e-005	-108.222	9.65405	0.979112	0.000152323	0.335246	0.335196	0.329559
9.859	0.0372667	0.0378767	0.0382467	9.04978e-005	8.5906e-005	7.70095e-005	-110.183	9.67348	0.981183	0.000153411	0.335642	0.335239	0.329119
9.858	0.03769	0.0393567	0.03948	8.64439e-005	8.62692e-005	9.73103e-005	-107.782	9.90065	1.00433	0.000154501	0.335331	0.335609	0.32906
9.857	0.0368	0.0380933	0.0406233	7.63162e-005	8.9113e-005	9.22571e-005	-106.86	9.39323	0.95295	0.000155617	0.335511	0.335399	0.32909
9.856	0.0394533	0.0392133	0.03823	9.19633e-005	8.6736e-005	8.07326e-005	-108.366	9.6395	0.978034	0.000156676	0.335418	0.335626	0.328957
9.855	0.03887	0.0414	0.03843	8.88619e-005	9.32991e-005	8.66556e-005	-108.455	9.71779	0.986077	0.000157763	0.335524	0.33554	0.328936
9.854	0.03748	0.03782	0.0383	8.2045e-005	8.27778e-005	8.38823e-005	-108.484	9.92886	1.0076	0.000158858	0.33565	0.335017	0.329333
9.853	0.0383367	0.0385133	0.0377733	8.70462e-005	8.30577e-005	8.35592e-005	-106.454	9.97147	1.01202	0.000159978	0.335588	0.334922	0.32949
9.852	0.03748	0.03979	0.0379933	8.76105e-005	9.59072e-005	8.21509e-005	-108.939	9.81245	0.995986	0.000161102	0.335808	0.335256	0.328937
9.851	0.03772	0.0379867	0.0378933	8.02289e-005	8.3298e-005	8.82556e-005	-106.76	9.38089	0.952278	0.000162209	0.33475	0.335523	0.329727
9.85	0.03761	0.0381033	0.0383667	7.93513e-005	8.84616e-005	8.57416e-005	-107.799	9.55781	0.970336	0.000163267	0.335357	0.335032	0.329611
9.849	0.0370233	0.03834	0.03871	8.57318e-005	8.26209e-005	8.05555e-005	-106.546	9.96355	1.01163	0.000164345	0.33488	0.334751	0.330369
9.848	0.04024	0.0384967	0.0392233	8.65972e-005	9.05718e-005	8.96953e-005	-107.208	9.81361	0.996508	0.000165469	0.335239	0.335494	0.329267
9.847	0.0393933	0.0406267	0.0381867	8.74839e-005	9.73231e-005	8.52511e-005	-108.289	10.2754	1.0435	0.000166577	0.335319	0.335494	0.329187
9.846	0.0370533	0.0382767	0.0362067	7.96223e-005	8.96311e-005	7.47771e-005	-108.53	10.4728	1.06366	0.000167736	0.33546	0.335626	0.328914
9.845	0.0383933	0.0385233	0.038	9.59107e-005	8.38178e-005	8.22346e-005	-108.041	9.87911	1.00346	0.000168918	0.335232	0.33508	0.329688
9.844	0.0373867	0.0370033	0.03891	7.95965e-005	8.61741e-005	8.43312e-005	-108.972	10.044	1.02031	0.000170033	0.335163	0.335846	0.328991
9.843	0.0388067	0.0373467	0.03792	8.84462e-005	8.51077e-005	8.28571e-005	-108.341	9.38987	0.953965	0.000171167	0.335348	0.33541	0.329242
9.842	0.03828	0.0383233	0.0386467	8.82157e-005	8.84779e-005	8.8678e-005	-108.277	9.54486	0.969809	0.000172227	0.335097	0.335324	0.329579
9.841	0.0354367	0.0387433	0.0380967	7.56911e-005	8.12619e-005	8.73138e-005	-106.518	9.48091	0.96341	0.000173304	0.335298	0.33513	0.329572
9.84	0.0374767	0.03893	0.0386333	8.65695e-005	9.0271e-005	8.84236e-005	-108.032	9.42347	0.95767	0.000174375	0.335416	0.335893	0.328691
9.839	0.0384333	0.0401833	0.0369167	9.0435e-005	9.71553e-005	8.3262e-005	-107.525	9.12656	0.927591	0.000175439	0.335183	0.335179	0.329638
9.838	0.03817	0.0387467	0.0395267	8.82989e-005	9.09067e-005	8.90672e-005	-109.953	10.1493	1.03164	0.000176469	0.335491	0.335688	0.328821
