Temperature	Magnetism_One	Magnetism_Two	Magnetism_Three	Susceptibility_One	Susceptibility_Two	Susceptibility_Three	Energy	Heat_Capacity	Heat_Capacity_Over_Temp	Entropy	Prob1	Prob0	Prob_-1
9.884	0.0320046	0.032838	0.0305023	5.78707e-005	5.80993e-005	5.87554e-005	-155.352	13.5488	1.37078	0.000125656	0.335352	0.335397	0.329251
9.883	0.0317963	0.0313403	0.0320509	6.01084e-005	5.81209e-005	6.09076e-005	-154.796	14.2394	1.44079	0.000126714	0.335418	0.335416	0.329166
9.882	0.0329884	0.0332755	0.0312569	5.68891e-005	7.19863e-005	5.94908e-005	-154.658	15.8112	1.6	0.000127825	0.335327	0.335487	0.329186
9.881	0.0320278	0.0311458	0.0306736	6.67424e-005	5.85792e-005	5.67149e-005	-154.566	13.8559	1.40228	0.00012906	0.335551	0.335207	0.329242
9.88	0.0308681	0.0316134	0.0311204	5.50343e-005	5.80783e-005	5.73654e-005	-154.946	13.9695	1.41392	0.000130142	0.335584	0.335279	0.329137
9.879	0.0320532	0.0316597	0.0331528	5.62531e-005	5.91751e-005	6.00861e-005	-156.258	15.0291	1.52132	0.000131233	0.335364	0.335259	0.329377
9.878	0.0322176	0.0318681	0.0323125	6.28527e-005	5.60197e-005	5.547e-005	-154.939	13.4267	1.35926	0.000132407	0.335417	0.334883	0.329699
9.877	0.0307361	0.032037	0.0315532	6.09199e-005	6.18875e-005	5.82758e-005	-155.86	14.495	1.46755	0.000133456	0.335438	0.335625	0.328938
9.876	0.0320718	0.0312778	0.0324815	6.17862e-005	5.78319e-005	5.66247e-005	-153.06	13.7762	1.39492	0.000134588	0.335309	0.33547	0.329221
9.875	0.0316528	0.0314931	0.032662	6.34722e-005	6.21218e-005	5.96881e-005	-155.036	13.9409	1.41174	0.000135664	0.335874	0.33538	0.328746
9.874	0.0344954	0.0327083	0.0333032	6.00395e-005	6.25297e-005	6.28912e-005	-156.048	14.6035	1.47899	0.000136754	0.335275	0.334963	0.329762
9.873	0.0320278	0.0326389	0.0330741	5.91462e-005	5.89241e-005	5.89736e-005	-154.037	13.2273	1.33974	0.000137895	0.335574	0.335218	0.329208
9.872	0.0328634	0.0345602	0.0320972	6.57519e-005	6.82872e-005	5.58569e-005	-155.661	13.486	1.36609	0.000138929	0.335177	0.335546	0.329277
9.871	0.0323727	0.0320463	0.0322894	5.83774e-005	5.65539e-005	5.6816e-005	-156.291	14.3091	1.44961	0.000139983	0.335414	0.335679	0.328907
9.87	0.0328449	0.0311389	0.0333125	6.6135e-005	5.40385e-005	6.11072e-005	-153.587	14.8738	1.50697	0.000141101	0.335515	0.335327	0.329157
