Temperature	Magnetism_One	Magnetism_Two	Magnetism_Three	Susceptibility_One	Susceptibility_Two	Susceptibility_Three	Energy_Kawasaki	Heat_Capacity_Kawasaki	Heat_Capacity_Over_Temp	Entropy_Kawasaki	Prob1	Prob0	Prob_-1
6.165	0.0342605	0.0328362	0.0337962	0.000111954	0.000102812	0.000105197	-130.129	18.3314	2.97346	0.00658884	0.297603	0.297603	0.404794
6.164	0.033441	0.032875	0.033537	0.000102344	9.96184e-005	0.000104716	-129.718	18.0046	2.92092	0.00659214	0.297737	0.297737	0.404525
6.163	0.0339148	0.0327384	0.0327778	0.000106498	9.9753e-005	0.000102422	-130.22	18.6066	3.01908	0.00659539	0.29738	0.29738	0.405239
6.162	0.0338689	0.0340758	0.0346198	0.000109089	0.000102961	0.00010946	-130.848	20.1787	3.2747	0.00659874	0.297984	0.297984	0.404033
6.161	0.0326389	0.0335716	0.0337864	0.00010243	0.000108588	0.000104904	-131.779	18.6094	3.02052	0.00660238	0.297524	0.297524	0.404952
6.16	0.0337643	0.0338198	0.0340605	0.000103726	0.000106604	0.000107898	-130.249	18.9492	3.07617	0.00660574	0.297524	0.297524	0.404952
6.159	0.0337951	0.0336875	0.0331177	0.000104786	0.000105039	0.000105111	-130.959	18.804	3.0531	0.00660915	0.297871	0.297871	0.404259
6.158	0.0351479	0.0338873	0.0338534	0.000110277	0.000106299	0.000109283	-130.262	17.918	2.90972	0.00661255	0.297743	0.297743	0.404515
6.157	0.0322368	0.0323825	0.0333974	9.70561e-005	0.000101837	0.000102022	-128.669	19.0042	3.0866	0.00661578	0.297787	0.297787	0.404426
6.156	0.0333392	0.0338394	0.0333311	0.000103374	0.000107513	0.000102374	-133.301	18.0331	2.92936	0.00661921	0.297499	0.297499	0.405001
6.155	0.0326608	0.0324009	0.0319827	0.000100021	9.84192e-005	9.93194e-005	-130.267	17.6608	2.86934	0.00662246	0.297661	0.297661	0.404679
6.154	0.033286	0.033277	0.0336792	0.000103493	0.000107094	0.000104587	-130.198	21.0922	3.4274	0.00662565	0.297845	0.297845	0.404309
6.153	0.0337939	0.03439	0.0343033	0.000109635	0.000106428	0.000102723	-132.335	19.2178	3.12333	0.00662946	0.297669	0.297669	0.404663
6.152	0.0323948	0.0328707	0.0329301	9.52204e-005	0.000103312	0.000102244	-131.669	19.4303	3.15837	0.00663293	0.297488	0.297488	0.405024
6.151	0.0340939	0.033037	0.0336787	0.000107237	9.80633e-005	0.000105254	-131.38	18.7327	3.04547	0.00663644	0.297332	0.297332	0.405336
6.15	0.0334296	0.0334266	0.0339373	0.000104966	0.000100173	0.000107739	-131.419	18.7926	3.0557	0.00663982	0.297558	0.297558	0.404884
6.149	0.0345324	0.0334613	0.0341367	0.00010876	0.00010827	0.000108562	-131.117	18.9966	3.08938	0.00664322	0.297502	0.297502	0.404995
6.148	0.0331419	0.033028	0.0329232	9.99563e-005	0.000102158	0.000102913	-129.665	18.2127	2.96238	0.00664665	0.297122	0.297122	0.405756
6.147	0.0333228	0.034047	0.0333722	0.00010237	0.000103625	0.000103683	-129.858	18.1148	2.94693	0.00664994	0.29773	0.29773	0.404541
6.146	0.0347426	0.0334983	0.0341602	0.000110009	0.000104986	0.000106573	-134.655	19.2434	3.13104	0.00665322	0.297766	0.297766	0.404469
6.145	0.0342986	0.0336073	0.03386	0.000112851	0.000104856	0.000105767	-132.891	19.1734	3.12016	0.0066567	0.297598	0.297598	0.404805
6.144	0.0341694	0.0339042	0.0334471	0.000104071	0.000108568	0.000102876	-131.76	19.22	3.12826	0.00666016	0.297352	0.297352	0.405295
6.143	0.0339704	0.0334785	0.0328166	0.000111028	0.000102898	9.66119e-005	-130.759	18.4304	3.00023	0.00666364	0.297938	0.297938	0.404125
6.142	0.0342711	0.0353943	0.0332999	0.000113191	0.000116005	9.98796e-005	-128.576	19.4885	3.17299	0.00666697	0.297587	0.297587	0.404825
6.141	0.0330822	0.033235	0.0328953	0.000101289	0.000106422	9.98185e-005	-130.785	18.2254	2.96782	0.0066705	0.297953	0.297953	0.404094
6.14	0.0341983	0.0327718	0.0334423	0.000110104	0.000104067	9.98594e-005	-130.032	18.6738	3.04134	0.0066738	0.297669	0.297669	0.404662
6.139	0.0330863	0.0339535	0.0329406	0.000101361	0.00010466	0.000102409	-132.446	18.8062	3.0634	0.00667717	0.297126	0.297126	0.405747
6.138	0.0332227	0.0340882	0.0328516	0.000100058	0.000107494	0.000101338	-132.469	17.9429	2.92324	0.00668058	0.297451	0.297451	0.405097
6.137	0.0335026	0.0332773	0.033195	0.00010481	0.000100309	0.00010282	-131.101	19.1053	3.11313	0.00668383	0.297632	0.297632	0.404737
6.136	0.0335719	0.0321628	0.0325156	9.93141e-005	9.99118e-005	9.86593e-005	-132.353	19.0783	3.10924	0.00668729	0.297452	0.297452	0.405095
6.135	0.0334207	0.0320063	0.0350852	0.000102617	9.67993e-005	0.000111882	-131.916	19.0139	3.09925	0.00669074	0.297504	0.297504	0.404992
6.134	0.0336812	0.0325896	0.0337871	0.000102914	9.59624e-005	0.000106919	-129.07	19.2958	3.14571	0.00669418	0.297571	0.297571	0.404859
6.133	0.0339098	0.0344309	0.0348497	0.000105624	0.00011056	0.000115448	-132.879	18.66	3.04256	0.00669768	0.29755	0.29755	0.404899
6.132	0.0324774	0.0335098	0.0333351	9.81769e-005	0.000105206	0.000100888	-132.096	17.9093	2.92063	0.00670106	0.29744	0.29744	0.40512
6.131	0.0331616	0.0347709	0.0330965	0.000108387	0.000111192	0.00010156	-132.218	18.6174	3.03661	0.0067043	0.297557	0.297557	0.404887
6.13	0.0339989	0.0333106	0.0321661	0.000107378	0.000104001	9.88564e-005	-132.934	18.1985	2.96876	0.00670768	0.297639	0.297639	0.404723
6.129	0.0336325	0.032152	0.0327502	0.000104761	9.82136e-005	0.000102084	-129.81	18.8339	3.07292	0.00671098	0.297647	0.297647	0.404707
6.128	0.0327026	0.0349854	0.033411	0.000100478	0.000114038	0.000103203	-131.217	19.3605	3.15935	0.00671439	0.297875	0.297875	0.40425
