Temp	Magnetism_1_Incorrect	Magnetism_2_Incorrect	Susceptibility_1_Incorrect	Susceptibility_2_Incorrect	Energy_Incorrect	Heat_Capacity_Incorrect	Heat_Capacity/Temp_Incorrect	Entropy_Incorrect	Prob3	Prob2	Prob1	Prob0	Prob_neg1	Prob_neg2	Prob_neg3
1.837	0.0232059	-0.0232059	0.00775588	0.00775588	-569.42	690.401	375.83	0.842507	0	0	0.35193	0.29614	0.35193	0	0
1.838	-0.0145834	0.0145834	0.00767599	0.00767599	-575.959	685.684	373.06	0.842924	0	0	0.352411	0.295177	0.352411	0	0
1.839	-0.00431646	0.00431646	0.00597366	0.00597366	-570.569	776.456	422.216	0.843339	0	0	0.351409	0.297181	0.351409	0	0
1.84	0.0504551	-0.0504551	0.00586916	0.00586916	-566.255	743.219	403.923	0.843808	0	0	0.351254	0.297492	0.351254	0	0
1.841	-0.021838	0.021838	0.00607649	0.00607649	-563.825	614.235	333.642	0.844257	0	0	0.351466	0.297068	0.351466	0	0
1.842	0.027465	-0.027465	0.00536605	0.00536605	-568.969	709.98	385.44	0.844628	0	0	0.351084	0.297832	0.351084	0	0
1.843	-0.00378427	0.00378427	0.00746448	0.00746448	-563.7	720.344	390.854	0.845056	0	0	0.350714	0.298572	0.350714	0	0
1.844	0.000789069	-0.000789069	0.00845579	0.00845579	-570.25	745.324	404.189	0.84549	0	0	0.351275	0.29745	0.351275	0	0
1.845	0.0172766	-0.0172766	0.00754504	0.00754504	-571.59	773.675	419.336	0.845939	0	0	0.351291	0.297419	0.351291	0	0
1.846	-0.00750722	0.00750722	0.0105608	0.0105608	-558.143	657.406	356.125	0.846405	0	0	0.350578	0.298844	0.350578	0	0
1.847	0.026895	-0.026895	0.00577026	0.00577026	-559.253	760.946	411.99	0.846801	0	0	0.349947	0.300105	0.349947	0	0
1.848	-0.00826896	0.00826896	0.0079703	0.0079703	-560.951	799.441	432.598	0.847259	0	0	0.350131	0.299737	0.350131	0	0
1.849	-0.0142006	0.0142006	0.00863752	0.00863752	-569.762	682.87	369.318	0.847739	0	0	0.351096	0.297809	0.351096	0	0
1.85	0.0170983	-0.0170983	0.00597227	0.00597227	-561.559	811.346	438.565	0.84815	0	0	0.35041	0.29918	0.35041	0	0
1.851	0.00878498	-0.00878498	0.0045687	0.0045687	-552.998	543.293	293.513	0.848637	0	0	0.349667	0.300665	0.349667	0	0
1.852	-0.0172819	0.0172819	0.00624925	0.00624925	-563.393	726.541	392.3	0.848963	0	0	0.350506	0.298988	0.350506	0	0
1.853	0.00819245	-0.00819245	0.00538257	0.00538257	-556.409	654.245	353.073	0.849399	0	0	0.350046	0.299907	0.350046	0	0
1.854	0.00417882	-0.00417882	0.00634291	0.00634291	-561.148	740.956	399.652	0.849791	0	0	0.350202	0.299596	0.350202	0	0
1.855	0.00946246	-0.00946246	0.00586325	0.00586325	-551.206	667.511	359.844	0.850235	0	0	0.349259	0.301482	0.349259	0	0
1.856	-0.0321268	0.0321268	0.00631646	0.00631646	-555.029	801.013	431.58	0.850635	0	0	0.349407	0.301186	0.349407	0	0
1.857	0.00311377	-0.00311377	0.00499755	0.00499755	-556.255	583.28	314.098	0.851115	0	0	0.349878	0.300244	0.349878	0	0
1.858	-0.0117619	0.0117619	0.00941312	0.00941312	-560.28	672.88	362.153	0.851464	0	0	0.350274	0.299453	0.350274	0	0
1.859	-0.00582911	0.00582911	0.00550629	0.00550629	-546.359	649.564	349.416	0.851866	0	0	0.348744	0.302512	0.348744	0	0
1.86	-0.0131033	0.0131033	0.00602634	0.00602634	-552.917	697.309	374.897	0.852254	0	0	0.349474	0.301052	0.349474	0	0
1.861	-0.0114947	0.0114947	0.00840207	0.00840207	-564.824	663.262	356.401	0.852671	0	0	0.350754	0.298492	0.350754	0	0
1.862	0.00715469	-0.00715469	0.00649948	0.00649948	-547.053	553.541	297.283	0.853067	0	0	0.348534	0.302933	0.348534	0	0
1.863	0.0128763	-0.0128763	0.00552962	0.00552962	-548.725	628.108	337.149	0.853397	0	0	0.349102	0.301796	0.349102	0	0
1.864	-0.0341162	0.0341162	0.00768213	0.00768213	-547.574	670.415	359.665	0.853772	0	0	0.349084	0.301832	0.349084	0	0
1.865	0.0179126	-0.0179126	0.00836861	0.00836861	-559.144	617.56	331.131	0.854171	0	0	0.350009	0.299983	0.350009	0	0
1.866	-0.0154705	0.0154705	0.00674173	0.00674173	-550.395	725.977	389.055	0.854539	0	0	0.348907	0.302185	0.348907	0	0
1.867	0.0131874	-0.0131874	0.00699635	0.00699635	-546.683	651.67	349.047	0.854972	0	0	0.34815	0.303699	0.34815	0	0
1.868	-0.0227397	0.0227397	0.00415517	0.00415517	-545.048	670.201	358.78	0.855359	0	0	0.348519	0.302961	0.348519	0	0
1.869	-0.00434411	0.00434411	0.00642784	0.00642784	-542.534	608.95	325.816	0.855758	0	0	0.348174	0.303651	0.348174	0	0
1.87	0.0220883	-0.0220883	0.00704892	0.00704892	-542.15	652.489	348.925	0.85612	0	0	0.348452	0.303097	0.348452	0	0
1.871	-0.00179358	0.00179358	0.0064935	0.0064935	-545.13	613.858	328.091	0.856508	0	0	0.348567	0.302867	0.348567	0	0
1.872	-0.0236948	0.0236948	0.00556478	0.00556478	-546.605	671.555	358.737	0.856872	0	0	0.348656	0.302687	0.348656	0	0
1.873	-0.0116004	0.0116004	0.00677825	0.00677825	-549.18	616.741	329.28	0.857271	0	0	0.349608	0.300784	0.349608	0	0
1.874	-0.00615861	0.00615861	0.00703802	0.00703802	-545.683	695.084	370.909	0.857637	0	0	0.348732	0.302536	0.348732	0	0
1.875	-0.00698353	0.00698353	0.0050124	0.0050124	-538.714	574.922	306.625	0.858049	0	0	0.347856	0.304289	0.347856	0	0
1.876	0.00137471	-0.00137471	0.00478295	0.00478295	-539.282	647.162	344.969	0.85839	0	0	0.347906	0.304187	0.347906	0	0
1.877	-0.0021994	0.0021994	0.00574444	0.00574444	-543.019	736.9	392.594	0.858773	0	0	0.347967	0.304066	0.347967	0	0
1.878	-0.0254076	0.0254076	0.00512101	0.00512101	-538.91	603.548	321.378	0.859209	0	0	0.348137	0.303725	0.348137	0	0
1.879	0.0347029	-0.0347029	0.00492756	0.00492756	-535.571	613.979	326.759	0.859566	0	0	0.347184	0.305633	0.347184	0	0
1.88	-0.0132048	0.0132048	0.00468384	0.00468384	-541.679	668.672	355.677	0.859929	0	0	0.348228	0.303544	0.348228	0	0
1.881	-0.0398323	0.0398323	0.00508804	0.00508804	-547.716	668.306	355.293	0.860324	0	0	0.348414	0.303172	0.348414	0	0
1.882	-0.0250452	0.0250452	0.00485375	0.00485375	-538.352	778.017	413.399	0.860719	0	0	0.347401	0.305198	0.347401	0	0
1.883	-0.0321292	0.0321292	0.00556666	0.00556666	-547.243	667.396	354.432	0.861179	0	0	0.348956	0.302089	0.348956	0	0
1.884	0.0352199	-0.0352199	0.00652796	0.00652796	-538.003	579.712	307.703	0.861572	0	0	0.347563	0.304874	0.347563	0	0
1.885	-0.0093015	0.0093015	0.00699063	0.00699063	-543.095	722.418	383.246	0.861914	0	0	0.348399	0.303203	0.348399	0	0
1.886	0.0012181	-0.0012181	0.0049011	0.0049011	-533.087	655.871	347.758	0.86234	0	0	0.346875	0.30625	0.346875	0	0
1.887	0.0146653	-0.0146653	0.00520205	0.00520205	-543.357	578.887	306.777	0.862726	0	0	0.34798	0.30404	0.34798	0	0
1.888	-0.0189209	0.0189209	0.00560912	0.00560912	-536.759	798.719	423.05	0.863067	0	0	0.347487	0.305026	0.347487	0	0
1.889	-0.0205937	0.0205937	0.00760088	0.00760088	-541.518	778.348	412.042	0.863537	0	0	0.347924	0.304152	0.347924	0	0
1.89	0.0307665	-0.0307665	0.00709051	0.00709051	-539.044	641.635	339.489	0.863995	0	0	0.347078	0.305843	0.347078	0	0
1.891	-0.0218913	0.0218913	0.00514174	0.00514174	-531.069	634.597	335.588	0.864372	0	0	0.346716	0.306567	0.346716	0	0
