Temperature_K	Magnetism_One_K	Magnetism_Two_K	Magnetism_Three_K	Susceptibility_One_K	Susceptibility_Two_K	Susceptibility_Three_K	Energy_K	Heat_Capacity_K	Heat_Capacity_Over_Temp_K	Entropy_K	Prob1	Prob_neg1	Prob0
9.858	-1.85704e-005	0.00226449	-0.00224592	0.000172546	0.000178729	0.000172247	-109.794	9.22983	0.936279	1.09845	0.335374	0.335374	0.329252
9.857	-0.00190001	0.000387211	0.0015128	0.000180601	0.000165324	0.000191819	-110.6	9.06502	0.919654	1.09845	0.335131	0.335131	0.329739
9.856	0.0015551	0.00159165	-0.00314676	0.00017653	0.000194544	0.000184249	-110.3	9.21783	0.935251	1.09844	0.335059	0.335059	0.329881
9.855	0.000941215	0.00393158	-0.0048728	0.000172391	0.00018206	0.000184464	-109.584	9.39839	0.953667	1.09844	0.335556	0.335556	0.328889
9.854	0.00198303	-0.000603285	-0.00137974	0.000182307	0.000194211	0.000202519	-107.013	10.1063	1.02561	1.09844	0.335038	0.335038	0.329925
9.853	-0.00233653	0.00205691	0.000279622	0.00019923	0.000201465	0.00020324	-113.233	9.41991	0.956044	1.09844	0.334977	0.334977	0.330046
9.852	-0.00342672	-0.000558193	0.00398491	0.000198644	0.000200709	0.000187896	-110.084	10.6563	1.08163	1.09844	0.335555	0.335555	0.328891
9.851	0.000220411	-0.000615063	0.000394652	0.000182955	0.000186384	0.000193685	-107.676	10.451	1.06091	1.09844	0.335917	0.335917	0.328165
9.85	-0.00045447	0.000430048	2.44222e-005	0.000191204	0.000179633	0.000189325	-115.627	9.31489	0.945674	1.09844	0.334715	0.334715	0.330571
9.849	-0.000609526	-4.45704e-005	0.000654096	0.000181785	0.000194687	0.000180793	-110.963	8.32982	0.845753	1.09844	0.335187	0.335187	0.329626
9.848	0.000402685	-0.000806333	0.000403648	0.00017439	0.000178183	0.000176689	-111.94	10.2245	1.03823	1.09844	0.335534	0.335534	0.328933
9.847	0.00150075	-0.00395337	0.00245262	0.000168659	0.000173912	0.000175844	-112.23	10.3249	1.04854	1.09843	0.335056	0.335056	0.329888
9.846	0.00274978	-0.00290679	0.000157004	0.000193752	0.00017669	0.000177668	-111.868	9.94055	1.0096	1.09843	0.335113	0.335113	0.329774
9.845	0.00200102	0.000842893	-0.00284391	0.000184067	0.000169354	0.000182048	-107.152	10.4571	1.06217	1.09843	0.335698	0.335698	0.328605
9.844	-0.00246766	0.000494237	0.00197343	0.000193588	0.000182991	0.000183727	-109.859	10.4155	1.05805	1.09843	0.335489	0.335489	0.329021
9.843	-0.000713874	-0.0013212	0.00203508	0.000181435	0.00016939	0.000180559	-109.786	9.17073	0.931701	1.09843	0.335526	0.335526	0.328948
9.842	-0.00337594	0.0013696	0.00200633	0.000212237	0.000187359	0.000188365	-112.297	10.2684	1.04332	1.09843	0.335331	0.335331	0.329338
9.841	8.88519e-005	-0.000514163	0.000425311	0.000181477	0.000188863	0.000191114	-113.404	9.7968	0.995508	1.09843	0.335134	0.335134	0.329731
9.84	0.000748433	8.09185e-005	-0.000829352	0.000192902	0.000186184	0.000181971	-107.156	10.6935	1.08674	1.09843	0.335305	0.335305	0.329391
9.839	0.00208592	-0.00166639	-0.000419533	0.000171101	0.000200379	0.000181993	-108.828	10.151	1.03171	1.09843	0.335554	0.335554	0.328891
9.838	0.00358907	0.00123827	-0.00482733	0.000196666	0.000197242	0.000189859	-108.193	10.2962	1.04658	1.09842	0.33538	0.33538	0.32924
9.837	0.000375333	-0.00126763	0.000892293	0.000189333	0.000166345	0.000180827	-109.95	10.2493	1.04191	1.09842	0.335331	0.335331	0.329337
9.836	-0.00131213	0.000589615	0.000722511	0.000187941	0.000182467	0.000177338	-110.714	9.81506	0.997871	1.09842	0.334743	0.334743	0.330515
9.835	-0.00184943	0.00284598	-0.000996552	0.000179165	0.000185076	0.000167849	-109.952	9.77113	0.993506	1.09842	0.334679	0.334679	0.330642
9.834	-0.00424817	-0.000104893	0.00435307	0.000183597	0.000200282	0.000185031	-110.19	9.58787	0.974972	1.09842	0.335156	0.335156	0.329687
9.833	-0.00281631	0.00120151	0.0016148	0.000202514	0.000186799	0.000197675	-108.806	9.78116	0.994728	1.09842	0.335444	0.335444	0.329111
9.832	-0.00302019	-0.000310278	0.00333047	0.000210366	0.000189085	0.000206886	-109.747	10.8843	1.10702	1.09842	0.335623	0.335623	0.328755
9.831	-0.00141478	0.00174706	-0.000332278	0.000183013	0.000197161	0.00018157	-111.737	9.42753	0.958959	1.09842	0.334796	0.334796	0.330407
9.83	0.00144631	0.000295596	-0.00174191	0.000203415	0.000186714	0.000179034	-110.208	9.87608	1.00469	1.09842	0.335142	0.335142	0.329717
9.829	-0.000569356	0.000962867	-0.000393511	0.000174399	0.000174825	0.0001944	-110.033	10.2808	1.04596	1.09841	0.335388	0.335388	0.329224
9.828	-0.00102556	-0.000256574	0.00128214	0.000188803	0.000183128	0.000196844	-111.981	9.15792	0.931819	1.09841	0.335327	0.335327	0.329346
9.827	-0.00101	0.00203145	-0.00102146	0.000197629	0.000185496	0.000182835	-107.765	9.85914	1.00327	1.09841	0.335963	0.335963	0.328074
