0	1
0	0.997654	0.666666	-4.29501e+008	-1.#INF	1.#INF
2.07	0.984815	0.666576	-4.29501e+008	2.16574	3.2046e-007
2.08	0.987623	0.666637	-4.29501e+008	1.92308	1.04415e-007
2.09	0.986806	0.666627	-4.29501e+008	2.49079	1.39329e-007
2.1	0.986543	0.666637	-4.29501e+008	2.10431	1.03216e-007
2.11	0.985031	0.666586	-4.29501e+008	2.22816	2.83635e-007
2.12	0.983519	0.666543	-4.29501e+008	2.91919	4.31788e-007
2.13	0.985772	0.666632	-4.29501e+008	2.39811	1.20658e-007
2.14	0.985633	0.666633	-4.29501e+008	2.37575	1.15223e-007
2.15	0.984429	0.666605	-4.29501e+008	1.93835	2.107e-007
2.16	0.985262	0.666626	-4.29501e+008	2.53772	1.38783e-007
2.17	0.984398	0.666629	-4.29501e+008	2.10665	1.27941e-007
2.18	0.983935	0.666617	-4.29501e+008	3.16472	1.65415e-007
2.19	0.982809	0.666624	-4.29501e+008	2.66884	1.42894e-007
2.2	0.981867	0.666601	-4.29501e+008	3.30579	2.16364e-007
2.21	0.980463	0.666572	-4.29501e+008	2.62075	3.11258e-007
2.22	0.98287	0.66662	-4.29501e+008	2.14268	1.54154e-007
2.23	0.982037	0.666607	-4.29501e+008	2.6383	1.95543e-007
2.24	0.978503	0.666542	-4.295e+008	3.95408	4.04483e-007
2.25	0.979213	0.666608	-4.295e+008	2.27556	1.88499e-007
2.26	0.981713	0.666624	-4.295e+008	2.25546	1.35593e-007
2.27	0.980772	0.666614	-4.295e+008	2.23563	1.68996e-007
2.28	0.980648	0.666614	-4.295e+008	2.83164	1.66584e-007
2.29	0.976898	0.666557	-4.295e+008	3.47819	3.43904e-007
2.3	0.977222	0.666567	-4.295e+008	3.75047	3.11897e-007
2.31	0.977438	0.666562	-4.295e+008	3.53816	3.28622e-007
2.32	0.976759	0.666559	-4.295e+008	4.10226	3.35836e-007
2.33	0.979352	0.666624	-4.295e+008	2.29881	1.31806e-007
2.34	0.974907	0.666595	-4.295e+008	3.74023	2.17514e-007
2.35	0.976188	0.666578	-4.295e+008	3.47669	2.68806e-007
2.36	0.971636	0.666392	-4.295e+008	4.59638	8.41351e-007
2.37	0.975972	0.666581	-4.295e+008	3.87402	2.59102e-007
2.38	0.97162	0.666497	-4.295e+008	4.63244	5.09699e-007
2.39	0.975386	0.666599	-4.295e+008	3.02516	2.02751e-007
2.4	0.971728	0.666554	-4.295e+008	4.22222	3.32592e-007
2.41	0.97	0.666485	-4.295e+008	4.24235	5.39408e-007
2.42	0.966852	0.666431	-4.295e+008	3.60631	6.94862e-007
2.43	0.972068	0.666581	-4.295e+008	3.46831	2.504e-007
2.44	0.972022	0.666578	-4.295e+008	3.49368	2.57993e-007
2.45	0.965278	0.666457	-4.295e+008	3.89171	6.04317e-007
2.46	0.970154	0.666573	-4.295e+008	4.07165	2.70139e-007
2.47	0.967114	0.666558	-4.295e+008	4.40591	3.07704e-007
2.48	0.967222	0.666579	-4.295e+008	3.59001	2.48736e-007
2.49	0.967917	0.666544	-4.295e+008	5.26443	3.45517e-007
2.5	0.963488	0.666538	-4.295e+008	5.1712	3.586e-007
2.51	0.961451	0.666371	-4.295e+008	5.89197	8.28112e-007
2.52	0.963565	0.666529	-4.295e+008	4.98866	3.83288e-007
2.53	0.962639	0.66646	-4.295e+008	4.39938	5.79898e-007
2.54	0.962901	0.666493	-4.295e+008	5.10881	4.76847e-007
2.55	0.96054	0.666508	-4.295e+008	4.37985	4.32826e-007
2.56	0.959799	0.666442	-4.295e+008	5.71289	6.17212e-007
2.57	0.961991	0.666509	-4.295e+008	5.81387	4.26567e-007
2.58	0.961003	0.666445	-4.295e+008	5.72081	6.03101e-007
2.59	0.957623	0.666443	-4.295e+008	6.7262	6.00141e-007
2.6	0.949136	0.666252	-4.295e+008	5.86982	1.08485e-006
2.61	0.955849	0.666432	-4.295e+008	7.14024	6.16615e-007
2.62	0.956574	0.666453	-4.295e+008	6.7129	5.62473e-007
2.63	0.955756	0.666473	-4.295e+008	6.29184	5.06916e-007
2.64	0.956559	0.666518	-4.295e+008	5.18825	3.87963e-007
2.65	0.953441	0.666492	-4.295e+008	5.60484	4.50427e-007
2.66	0.951543	0.666271	-4.295e+008	8.14065	1.03622e-006
2.67	0.947762	0.666364	-4.295e+008	6.55361	7.73563e-007
2.68	0.935046	0.66586	-4.295e+008	7.21764	2.04615e-006
2.69	0.947083	0.666439	-4.295e+008	6.27963	5.73736e-007
2.7	0.948657	0.666384	-4.295e+008	6.71605	7.14071e-007
2.71	0.948287	0.666434	-4.295e+008	6.75372	5.79731e-007
2.72	0.949352	0.666398	-4.295e+008	6.7474	6.72839e-007
2.73	0.950031	0.666479	-4.295e+008	5.7964	4.71376e-007
2.74	0.942037	0.666288	-4.295e+008	7.37386	9.29882e-007
2.75	0.944583	0.666424	-4.295e+008	6.89719	5.93399e-007
2.76	0.938503	0.666341	-4.295e+008	8.4436	7.85096e-007
2.77	0.937253	0.666308	-4.295e+008	7.67376	8.69757e-007
2.78	0.935941	0.666323	-4.295e+008	8.44677	8.13563e-007
2.79	0.939043	0.666333	-4.295e+008	8.63298	7.97844e-007
2.8	0.938534	0.666426	-4.295e+008	6.12245	5.70378e-007
2.81	0.93679	0.666371	-4.295e+008	7.86211	6.98502e-007
2.82	0.915571	0.665601	-4.295e+008	6.63951	2.47039e-006
2.83	0.930216	0.666151	-4.295e+008	8.59044	1.20414e-006
2.84	0.922037	0.665856	-4.295e+008	10.6725	1.86117e-006
2.85	0.924213	0.666141	-4.295e+008	10.7159	1.19441e-006
2.86	0.932531	0.666338	-4.295e+008	7.394	7.55431e-007
2.87	0.91858	0.665872	-4.295e+008	9.0131	1.79867e-006
2.88	0.92358	0.666233	-4.295e+008	8.17901	9.73516e-007
2.89	0.924429	0.666305	-4.295e+008	8.04588	8.05828e-007
2.9	0.921682	0.665964	-4.295e+008	10.8823	1.58253e-006
2.91	0.923009	0.666228	-4.295e+008	8.91818	9.71077e-007
2.92	0.919522	0.665961	-4.295e+008	11.109	1.54477e-006
2.93	0.91767	0.666022	-4.295e+008	10.7351	1.41335e-006
2.94	0.920478	0.666209	-4.295e+008	10.3661	9.89448e-007
2.95	0.906512	0.665867	-4.295e+008	10.4797	1.68968e-006
2.96	0.905941	0.665965	-4.295e+008	9.64207	1.48737e-006
2.97	0.897361	0.665552	-4.295e+008	10.8832	2.30476e-006
2.98	0.914568	0.666336	-4.295e+008	6.55826	7.03184e-007
2.99	0.8975	0.66549	-4.295e+008	15.6061	2.43425e-006
3	0.887886	0.664939	-4.295e+008	10.3822	3.63343e-006
3.01	0.90108	0.66588	-4.295e+008	12.8917	1.61475e-006
3.02	0.900278	0.665947	-4.295e+008	12.3152	1.46624e-006
3.03	0.884676	0.664679	-4.295e+008	13.1752	3.96018e-006
3.04	0.894784	0.665548	-4.295e+008	16.1704	2.27141e-006
3.05	0.881481	0.665105	-4.295e+008	14.2069	3.07674e-006
3.06	0.892886	0.66576	-4.295e+008	12.4055	1.78941e-006
3.07	0.886698	0.665778	-4.295e+008	11.7137	1.70726e-006
3.08	0.877716	0.665384	-4.295e+008	12.8184	2.42188e-006
3.09	0.887315	0.665605	-4.295e+008	10.9257	2.07028e-006
3.1	0.86713	0.664069	-4.295e+008	11.821	5.04378e-006
3.11	0.791466	0.647852	-4.295e+008	28.6846	3.20796e-005
3.12	0.872886	0.664903	-4.295e+008	15.0888	3.36717e-006
3.13	0.865154	0.664657	-4.295e+008	17.0503	3.72241e-006
3.14	0.87821	0.665701	-4.295e+008	13.8261	1.78956e-006
3.15	0.858997	0.664603	-4.295e+008	14.7705	3.75803e-006
3.16	0.867238	0.663835	-4.295e+008	16.2474	5.48595e-006
3.17	0.861404	0.66492	-4.295e+008	16.6227	3.09951e-006
3.18	0.867716	0.665432	-4.295e+008	10.316	2.22469e-006
3.19	0.868688	0.665572	-4.295e+008	12.1697	1.96165e-006
3.2	0.853441	0.665323	-4.295e+008	16.4688	2.29896e-006
3.21	0.852269	0.665552	-4.295e+008	12.5154	1.91452e-006
3.22	0.851605	0.665226	-4.295e+008	16.2031	2.4668e-006
3.23	0.841806	0.664593	-4.295e+008	19.2621	3.48237e-006
3.24	0.836852	0.66536	-4.295e+008	12.62	2.17791e-006
3.25	0.836296	0.66466	-4.295e+008	15.5115	3.24773e-006
3.26	0.823596	0.663455	-4.295e+008	16.109	5.17876e-006
3.27	0.826867	0.662139	-4.295e+008	22.5645	7.6777e-006
3.28	0.772978	0.662006	-4.295e+008	16.0024	6.43816e-006
3.29	0.802438	0.663239	-4.295e+008	18.3886	5.2943e-006
3.3	0.821898	0.661865	-4.295e+008	23.4197	8.07762e-006
3.31	0.80588	0.664023	-4.295e+008	16.0641	4.03377e-006
3.32	0.78534	0.654018	-4.295e+008	33.9382	2.01299e-005
3.33	0.779491	0.657544	-4.295e+008	23.7499	1.34741e-005
3.34	0.777994	0.662203	-4.295e+008	25.1856	6.33322e-006
3.35	0.775772	0.660855	-4.295e+008	23.4386	8.40953e-006
3.36	0.795216	0.663038	-4.295e+008	18.7642	5.1665e-006
3.37	0.794105	0.663159	-4.295e+008	18.9066	5.04456e-006
3.38	0.78963	0.661891	-4.295e+008	23.8087	6.74737e-006
3.39	0.768349	0.662687	-4.29499e+008	17.5425	5.41589e-006
3.4	0.765201	0.661098	-4.29499e+008	23.1972	7.39726e-006
3.41	0.68037	0.643214	-4.29499e+008	32.8859	2.5696e-005
3.42	0.774213	0.659919	-4.29499e+008	30.1768	9.19894e-006
3.43	0.766065	0.66235	-4.29499e+008	20.9165	5.73574e-006
3.44	0.671991	0.642997	-4.29499e+008	22.742	2.72581e-005
3.45	0.717238	0.659859	-4.29499e+008	17.8786	7.72169e-006
3.46	0.739985	0.659956	-4.29499e+008	25.1529	8.43993e-006
3.47	0.647701	0.640973	-4.29499e+008	29.8184	2.52007e-005
3.48	0.706667	0.656229	-4.29499e+008	30.5192	1.13627e-005
3.49	0.652238	0.646907	-4.29499e+008	33.0506	1.86642e-005
3.5	0.714352	0.659018	-4.29499e+008	25.809	8.87706e-006
3.51	0.691852	0.659285	-4.29499e+008	20.0258	7.57423e-006
3.52	0.641188	0.647128	-4.29499e+008	30.8626	1.86967e-005
3.53	0.637963	0.638662	-4.29499e+008	45.146	2.71939e-005
3.54	0.719043	0.660872	-4.29499e+008	26.5824	6.37189e-006
3.55	0.698673	0.660084	-4.29499e+008	23.2843	7.03898e-006
3.56	0.609012	0.631721	-4.29499e+008	22.9769	3.15252e-005
3.57	0.609414	0.641683	-4.29499e+008	41.8301	2.17268e-005
3.58	0.60463	0.653447	-4.29499e+008	18.726	9.98459e-006
3.59	0.612731	0.639726	-4.29499e+008	43.004	2.45437e-005
3.6	0.48517	0.616859	-4.29499e+008	42.2716	2.79928e-005
3.61	0.48037	0.598637	-4.29499e+008	32.8543	4.01301e-005
3.62	0.514151	0.625323	-4.29499e+008	17.8017	2.62588e-005
3.63	0.392407	0.47889	-4.29499e+008	39.633	0.000132419
3.64	0.447948	0.594329	-4.29499e+008	27.4363	4.36719e-005
3.65	0.462006	0.576644	-4.29499e+008	25.5087	5.79096e-005
3.66	0.180833	0.454934	-4.29498e+008	21.3802	1.83596e-005
3.67	0.216991	0.29435	-4.29498e+008	29.698	5.96063e-005
3.68	0.381821	0.54296	-4.29499e+008	34.6408	6.58976e-005
3.69	0.18412	-0.160797	-4.29498e+008	40.6578	8.08633e-005
3.7	0.269074	0.363651	-4.29498e+008	33.1454	8.21805e-005
